,year,datetime,stage,stadium,city,home team name,home team goals,away team goals,away team name,win conditions,attendance,half-time home goals,half-time away goals,home team initials,away team initials
51,2010,25 Jun 2010 - 20:30 ,Group H,Loftus Versfeld Stadium,Tshwane/Pretoria ,Chile,1,2,Spain, ,41958,0,2,CHI,ESP
52,2010,29 Jun 2010 - 20:30 ,Round of 16,Cape Town Stadium,Cape Town ,Spain,1,0,Portugal, ,62955,0,0,ESP,POR
53,2010,03 Jul 2010 - 20:30 ,Quarter-finals,Ellis Park Stadium,Johannesburg ,Paraguay,0,1,Spain, ,55359,0,0,PAR,ESP
54,2010,07 Jul 2010 - 20:30 ,Semi-finals,Durban Stadium,Durban ,Germany,0,1,Spain, ,60960,0,0,GER,ESP
55,2010,11 Jul 2010 - 20:30 ,Final,Soccer City Stadium,Johannesburg ,Netherlands,0,1,Spain,Spain win after extra time ,84490,0,0,NED,ESP
56,2014,13 Jun 2014 - 16:00 ,Group B,Arena Fonte Nova,Salvador ,Spain,1,5,Netherlands, ,48173,1,1,ESP,NED
57,2014,18 Jun 2014 - 16:00 ,Group B,Estadio do Maracana,Rio De Janeiro ,Spain,0,2,Chile, ,74101,0,2,ESP,CHI
58,2014,23 Jun 2014 - 13:00 ,Group B,Arena da Baixada,Curitiba ,Australia,0,3,Spain, ,39375,0,1,AUS,ESP
59,2018,15 Jun 2018 - ,Group B,Fisht Stadium,Sochi,Portugal,3,3,Spain, ,43866,2,1,POR,ESP
60,2018,20 Jun 2018 - ,Group B,Kazan Arena,Kazan,Iran,0,1,Spain, ,42718,0,0,IRN,ESP
61,2018,25 Jun 2018 - ,Group B,Kaliningrad Stadium,Kaliningrad,Spain,2,2,Morocco, ,33973,1,1,ESP,MOR
62,2018,1 Jul 2018 - ,Round of 16,Luzhniki Stadium,Moscow,Spain,1,1,Russia,Russia win in penalties,78011,1,1,ESP,RUS
63,2022,23 Nov 2022 - ,Group E,Al Thumama Stadium,Doha,Spain,7,0,Costa Rica, ,40013,3,0,ESP,CRC
64,2022,27 Nov 2022 - ,Group E,Al Bayt Stadium,Al Khor,Spain,1,1,Germany, ,68895,0,0,ESP,GER
65,2022,1 Dec 2022 - ,Group E,Khalifa International Stadium,Al Rayyan,Japan,2,1,Spain, ,44851,0,1,JAP,ESP
66,2022,6 Dec 2022 - ,Round of 16,Education City Stadium,Al Rayyan,Morocco,0,0,Spain,Morocco win after penalties,44667,0,0,MOR,ESP
